tc,P,P_LightMax,P2_LightMin,P3_noZoo,P4_maxMLD,P5_minMLD,P6_LightMaxNZ,P7_LightMinNZ,P8_MaxMLDNZ,P9_MinMLDNZ,P10_ZOnly,P11_Zdyn,P12_Nullcline,P13_ConstHighN,P14_MLDOnlyNUnlim
1,0.0101288113748381,0.0196674923425957,0.0196674923425957,0,0.0046918615338657,0.0046918615338657,0.00489744914973216,0.00489744914973216,-0.00702257712605784,-0.00702257712605784,1.56414831117381E-17,70.7064757253565,0.25074085455146,0.0154871274681856,0
8,0.0114445377603104,0.0177495135995482,0.0177495135995482,0,0.00597538575113594,0.00597538575113594,0.00423556273871657,0.00423556273871657,-0.00565047134161685,-0.00565047134161685,1.56414831117381E-17,71.5179210882991,0.262194397635485,0.0168334345310683,0
16,0.00774510373499325,0.00859925116969216,0.00859925116969216,0,0.0076093627503066,0.0076093627503066,0.000753155910772495,0.000753155910772495,-0.00395880983416486,-0.00395880983416486,1.56414831117381E-17,72.2454861021231,0.267934746759901,0.0123090702035559,0
24,0.0179083495421887,0.00764517456057282,0.00764517456057282,0,0.0275479566763837,0.0275479566763837,7.55690931930229E-06,7.55690931930229E-06,0.0106074691297335,0.0106074691297335,1.56414831117381E-17,72.3682588519522,0.253113462856234,0.0243279392531104,0
32,0.0122369474256174,0.00568595899981889,0.00568595899981889,0,0.0171958630847246,0.0171958630847246,0,0,0.00419239456711142,0.00419239456711142,1.56414831117381E-17,72.2002601254861,0.246381978471514,0.0170158656255194,0
40,0.0216622529099558,0.00283519842996907,0.00283519842996907,0.00170533575290707,0.0351743559941508,0.0351743559941508,0,0,0.0179212544682769,0.0179212544682769,1.56414831117381E-17,71.5569439423061,0.223305475960712,0.0274652556686453,0
48,-0.00543467185066854,-0.00819455019964786,-0.00819455019964786,-0.0135748127162959,0.00448438853638886,0.00448438853638886,-0.0135282157574989,-0.0135282157574989,-0.00200724262403351,-0.00200724262403351,1.56414831117381E-17,71.049675631341,0.199353023225328,-0.00258384275333175,-0.0135748127162959
56,0.0217012069481417,-0.00266353165652079,-0.00266353165652079,-0.000216513133395807,0.0424496523343638,0.0424496523343638,-0.00855598375395509,-0.00855598375395509,0.0266740218509808,0.0266740218509808,1.56414831117381E-17,69.8051067292596,0.176814348431608,0.0285137079353372,-0.0143261153444585
64,0.0248552877844868,0.00169187464289805,0.00169187464289805,0.00300160832643705,0.026634462833346,0.026634462833346,-0.0042223178089019,-0.0042223178089019,0.0203270378789135,0.0203270378789135,1.56414831117381E-17,67.6240714389696,0.212240354452565,0.029732092631462,0.00940200593754459
72,0.0474718976790501,0.0186111394344179,0.0186111394344179,0.0229604346175727,0.0158387451366022,0.0158387451366022,0.0120554212199337,0.0120554212199337,0.0195929673175359,0.0195929673175359,1.56414831117381E-17,65.1878221822761,0.25694391212976,0.0492357171689671,0.0242986646983449
80,0.0493725648296467,0.0125870960436472,0.0125870960436472,0.0247717025634035,0.00913856659061316,0.00913856659061316,0.00857427230676047,0.00857427230676047,0.0241745953004205,0.0241745953004205,1.56414831117381E-17,61.9076111524732,0.290753103745654,0.0463544139881212,0
88,0.028213138333228,0.0088277111189974,0.0088277111189974,0.0123793026325456,-0.0261948742161048,-0.0261948742161048,0.00578700927404013,0.00578700927404013,0.00822629994031347,0.00822629994031347,1.56414831117381E-17,59.0281730691318,0.291701300425218,0.019482322097414,0
96,0.0138389782760962,-0.00811421665224704,-0.00811421665224704,-2.47909409107148E-06,-0.0117474364268818,-0.0117474364268818,-0.00954977000030268,-0.00954977000030268,0.0123418792426787,0.0123418792426787,1.56414831117381E-17,56.536283007755,0.216490319908831,0.00115933531366696,-0.0119438942505926
104,0.0143475796014565,-0.0107846779823233,-0.0107846779823233,0.0032980092811896,0.000291752840568099,0.000291752840568099,-0.00886310295358222,-0.00886310295358222,0.0165571958206584,0.0165571958206584,1.56414831117381E-17,53.1246469945571,0.108510940369735,-0.00341599148046659,-0.0108756837101622
112,0.0200621327015985,-0.000781846027077617,-0.000781846027077617,0.0109027712107856,-0.00982990242119872,-0.00982990242119872,-0.00219725495880341,-0.00219725495880341,0.0101266436647389,0.0101266436647389,1.56414831117381E-17,49.7302533625232,0,-0.0037123524438442,-0.000418902749243098
120,0.0359474080885293,0.0130164802192313,0.0130164802192313,0.0313673393772251,-5.21707451271312E-05,-5.21707451271312E-05,0.0109601179328194,0.0109601179328194,0.0117643355885071,0.0117643355885071,1.56414831117381E-17,46.3569711591388,0,0.00628474503732291,0.0143906233016965
128,0.0261345671949072,0.0380383197272047,0.0380383197272047,0.0530947963337099,-0.00992766355278319,-0.00992766355278319,0.0365745998987528,0.0365745998987528,0.00560633105478426,0.00560633105478426,1.56414831117381E-17,43.452473668372,0,0.00593844941841697,0.0364721527529882
136,0.116975760170549,0.167562104230175,0.167562104230175,0.12218296558272,0.0035223907288028,0.0035223907288028,0.101955164388527,0.101955164388527,0.00878691543358908,0.00878691543358908,1.56414831117381E-17,40.5960584530199,0.221810612661786,0.14044433108521,0.091387597027464
144,-0.0564187880776701,-0.0627936573341854,-0.0627936573341854,0.027414384384854,-0.00836283474598767,-0.00836283474598767,0.0381964578178879,0.0381964578178879,0.00347578343326462,0.00347578343326462,1.56414831117381E-17,38.1680926262344,0.221810612661786,-0.0386994334576339,0.0316623382659074
152,-0.0178702481145389,-0.0235499465909482,-0.0235499465909482,0.0117595489409967,-0.00189951807063179,-0.00189951807063179,0.0151217247381381,0.0151217247381381,0.00349620719094042,0.00349620719094042,1.56414831117381E-17,36.3378095755696,0.221810612661786,-0.0145332547826412,0.0134121666690708
160,-0.00997881082529571,-0.0115791217658744,-0.0115791217658744,0.0104916340985905,0.00367234131991586,0.00367234131991586,0.00721139363940956,0.00721139363940956,0.00556207489037874,0.00556207489037874,1.56414831117381E-17,34.2302507465498,0.221810612661786,-0.00827964056378772,0.00707915123161659
168,-0.0101960890036361,-0.00759440088326209,-0.00759440088326209,0.00309139201237276,-0.00590238461070756,-0.00590238461070756,0.00432697521701857,0.00432697521701857,0.00210730052006498,0.00210730052006498,1.56414831117381E-17,32.4863034580733,0.221810612661786,-0.00918665185251965,0.00453887030663871
176,-0.0116668613121464,-0.00627368957762944,-0.00627368957762944,-0.00624400569213962,-0.0159919912046537,-0.0159919912046537,0.00235738593948397,0.00235738593948397,-0.00427718206207531,-0.00427718206207531,1.56414831117381E-17,32.261473874706,0.221810612661786,-0.012112110881231,0.00255395068200245
184,0.000387751043221122,-0.00402310093193905,-0.00402310093193905,0.0102619227722335,0.0118233181070075,0.0118233181070075,0.00178745179175932,0.00178745179175932,0.0039654944083517,0.0039654944083517,1.56414831117381E-17,31.57290136948,0.221810612661786,-0.00037614974387517,0.00204128980610038
192,-0.00871174035677977,-0.00267701558465597,-0.00267701558465597,-0.00681991420320389,-0.0142754182073579,-0.0142754182073579,0.00152039604619023,0.00152039604619023,-0.00351672306070516,-0.00351672306070516,1.56414831117381E-17,31.3235254036903,0.221810612661786,-0.00950873517018368,0.00190829726769624
200,0.000314326799304604,-0.00231873729901951,-0.00231873729901951,0.00674802556958222,0.00755198911862488,0.00755198911862488,0.000938849487976601,0.000938849487976601,0.00223992970514577,0.00223992970514577,1.56414831117381E-17,31.0620527671042,0.221810612661786,-0.000697433738418627,0.00131235671411584
208,-0.00658194815183027,-0.00201393365820898,-0.00201393365820898,-0.00754200333038443,-0.0125889287367596,-0.0125889287367596,0.000438779190172119,0.000438779190172119,-0.00391957173925001,-0.00391957173925001,1.56414831117381E-17,31.2620604500763,0.221810612661786,-0.00771889145696384,0.000664936441253008
216,-8.28363053802198E-05,-0.00130479130403521,-0.00130479130403521,0.00235256991459355,0.00113446923841819,0.00113446923841819,0.115646745241724,0.115646745241724,-0.00134663615744505,-0.00134663615744505,1.56414831117381E-17,31.8515052975474,0.221810612661786,-0.00132250790956913,0.153656426471815
224,-0.00330612663131228,-0.000854725427641723,-0.000854725427641723,0,-0.00729781479213455,-0.00729781479213455,0,0,-0.00418114419371484,-0.00418114419371484,1.56414831117381E-17,32.7058854289386,0.221810612661786,-0.00446466686406863,0.0648329290008339
232,-0.0135168387386205,-0.00240142861688294,-0.00240142861688294,0,-0.0238338674229036,-0.0238338674229036,0,0,-0.0123681527472652,-0.0123681527472652,1.56414831117381E-17,35.0996772900647,0.221810612661786,-0.0164772732640552,0.0354903109689983
240,0.00438806916678638,-0.00298293978721739,-0.00298293978721739,0,0.00809198095459829,0.00809198095459829,0,0,-0.0040670080967724,-0.0040670080967724,1.56414831117381E-17,37.3349588011004,0.221810612661786,0.00239899569778705,0.0213925818642071
248,-0.00263566948797037,-0.00232227335721087,-0.00232227335721087,0,0.00166451698924303,0.00166451698924303,0,0,-0.00403255880876452,-0.00403255880876452,1.56414831117381E-17,38.8068987157043,0.221810612661786,-0.0037131000929827,0.0126023376223718
256,-0.00519074995619442,-0.00192025492541818,-0.00192025492541818,0.00456634642376366,-0.00444346764010432,-0.00444346764010432,0.00723922691983349,0.00723922691983349,-0.00601560930325042,-0.00601560930325042,1.56414831117381E-17,40.4857735507039,0.221810612661786,-0.00631862298501143,0
264,-0.0103484925281662,-0.00457119713957996,-0.00457119713957996,0.00795708839330623,-0.00839743140486288,-0.00839743140486288,0.0111068104786659,0.0111068104786659,-0.0086366315680017,-0.0086366315680017,1.56414831117381E-17,42.6296660043714,0.221810612661786,-0.0118583997323544,0
272,-0.00940611171240598,-0.00510693755506091,-0.00510693755506091,0.00765400209691746,-0.00680378300769562,-0.00680378300769562,0.0104444759582781,0.0104444759582781,-0.00951941365897645,-0.00951941365897645,1.56414831117381E-17,45.0741010579118,0.221810612661786,-0.0108547795411656,0
280,-0.00792655705850378,-0.00439594996720354,-0.00439594996720354,0.0143616546332489,-0.00502252239949032,-0.00502252239949032,0.0183886993723285,0.0183886993723285,-0.00974927361735383,-0.00974927361735383,1.56414831117381E-17,47.5621504414081,0.221810612661786,-0.00917210500576734,0.0242542253510282
288,-0.00718771245002488,-0.00364760593669089,-0.00364760593669089,0.0223572379312182,-0.00415377580655446,-0.00415377580655446,0.0282690328662912,0.0282690328662912,-0.00993511280306347,-0.00993511280306347,1.56414831117381E-17,50.0033404719348,0.221810612661786,-0.00818492866083644,0.024344069071853
296,-0.0184059715669789,-0.0164654715432038,-0.0164654715432038,0.0181713608934793,-0.00212046506586622,-0.00212046506586622,0.0240673316420805,0.0240673316420805,-0.00934646427378499,-0.00934646427378499,1.56414831117381E-17,52.3012009381306,0.221810612661786,-0.0197968302892043,0
304,0.0112972850879377,0.031109796475728,0.031109796475728,0.0105488380290318,-0.00766035258757009,-0.00766035258757009,0.0186157855743025,0.0186157855743025,-0.0121631016331864,-0.0121631016331864,1.56414831117381E-17,54.6699814490974,0.335529918171076,0.0103619547669652,0
312,0.0096805247387758,0.023784911744016,0.023784911744016,0.00322121323918807,-0.00998955286005636,-0.00998955286005636,0.0111167428135393,0.0111167428135393,-0.014255350027112,-0.014255350027112,1.56414831117381E-17,57.2240388144016,0.296256263190225,0.00876734410821302,0
320,0.00645070185958709,0.0134524361716334,0.0134524361716334,0,-0.00755588949288184,-0.00755588949288184,0.00349149508652431,0.00349149508652431,-0.0139569377507781,-0.0139569377507781,1.56414831117381E-17,59.7136074619881,0.265502777524809,0.00625516302726585,0
328,0.00754256574537027,0.013309303781157,0.013309303781157,0,-0.00645045561209834,-0.00645045561209834,0,0,-0.0138293811349008,-0.0138293811349008,1.56414831117381E-17,62.0079891087827,0.243981615754383,0.00848761164199069,0
336,-0.00288025260524323,0.0118265040028776,0.0118265040028776,0,-0.016702421836406,-0.016702421836406,0,0,-0.0200419680433569,-0.0200419680433569,1.56414831117381E-17,64.4199323426395,0.259279420606355,-0.00351504677668927,0
344,0.00945481975787675,0.0179270257100312,0.0179270257100312,0,-0.00702283971673573,-0.00702283971673573,0,0,-0.0151399347024743,-0.0151399347024743,1.56414831117381E-17,66.6379419931921,0.295983728315799,0.0132682149935836,0
352,0.00736338511219349,0.0188022242355723,0.0188022242355723,0,-0.00866610416586339,-0.00866610416586339,0.00250846676728405,0.00250846676728405,-0.0161718847491077,-0.0161718847491077,1.56414831117381E-17,68.5329423595065,0.30770293705536,0.0108104751218667,0
360,0.00846541480400845,0.00897736999260886,0.00897736999260886,0,0.000884089520436987,0.000884089520436987,0.00177976512436638,0.00177976512436638,-0.00986567183952828,-0.00986567183952828,1.56414831117381E-17,70.049124579151,0.280327646306528,0.0125228004630567,0
366,-0.0103398481689807,0.00871267015343441,0.00871267015343441,0,-0.0237696270582028,-0.0237696270582028,0.00127706647286388,0.00127706647286388,-0.0261604183846691,-0.0261604183846691,1.56414831117381E-17,71.3262325065559,0.275527918959293,-0.0103805501658937,0
373,0.0109973347503724,0.0132022026446805,0.0132022026446805,0,0.00519403938111299,0.00519403938111299,0.00210888933960128,0.00210888933960128,-0.0062439328268974,-0.0062439328268974,1.56414831117381E-17,72.5133536320673,0.254103748136145,0.016821548460471,0
381,0.00685430170756281,0.00209563919479704,0.00209563919479704,0,0.00790053919951793,0.00790053919951793,0,0,-0.00382189669892626,-0.00382189669892626,1.56414831117381E-17,73.2878158464541,0.248554480305148,0.0113071685300705,0
389,-0.00762393354899129,-0.0121538382084798,-0.0121538382084798,-0.0182981969257506,0.0117695318876936,0.0117695318876936,-0.0182981969257506,-0.0182981969257506,-0.00054414326730395,-0.00054414326730395,1.56414831117381E-17,73.8040565159985,0.216428970562734,-0.00261636069974658,-0.0182981969257506
397,0.010838886884387,-0.0041501525304346,-0.0041501525304346,-0.0154380502501395,0.0364317541005468,0.0364317541005468,-0.0108495212012446,-0.0108495212012446,0.0177406432645386,0.0177406432645386,1.56414831117381E-17,73.6256452386484,0.214558491910581,0.0191032372689868,-0.0184316818987065
405,0.0196752145182047,5.45710373986899E-06,5.45710373986899E-06,-0.00758909401467054,0.0428887974764041,0.0428887974764041,-0.00490715846601613,-0.00490715846601613,0.02280132536481,0.02280132536481,1.56414831117381E-17,72.6577819636117,0.206971076633915,0.027690970902968,-0.0185671287261163
413,0.0119128207436581,0.00230121174371329,0.00230121174371329,-0.00933561801318772,0.0233119564622838,0.0233119564622838,-0.001088714343125,-0.001088714343125,0.0103368946620405,0.0103368946620405,1.56414831117381E-17,71.6251053794322,0.198813016839697,0.0161386178968332,0.00569206933928316
421,0.0232201286168884,0.00455414444951917,0.00455414444951917,-0.000346220602760351,0.0297135956616687,0.0297135956616687,0.00198265937087216,0.00198265937087216,0.0170353661659171,0.0170353661659171,1.56414831117381E-17,70.4585611525551,0.191451997579816,0.0272630184937935,0.00530923911800471
429,0.0235822656756416,0.00583765441866733,0.00583765441866733,0.0019340444603909,0.0195218140307155,0.0195218140307155,0.00406518208620324,0.00406518208620324,0.0131436511657781,0.0131436511657781,1.56414831117381E-17,69.029471680241,0.210979236983547,0.0244038738068598,0.00504262251296736
437,0.0502025917332585,0.0226208568685545,0.0226208568685545,0.0273301244726984,0.0175131630091414,0.0175131630091414,0.0227908979035869,0.0227908979035869,0.016076147231815,0.016076147231815,1.56414831117381E-17,67.35694637299,0.236646561567674,0.0467989021577331,0
445,0.053726455504814,0.0110688374432931,0.0110688374432931,0.0306881045919144,0.0202225138820071,0.0202225138820071,0.0155231363469854,0.0155231363469854,0.024902887040252,0.024902887040252,1.56414831117381E-17,64.6871385983496,0.258989085524238,0.0426347180008821,0
453,0.0418495351625335,0.00518098786282778,0.00518098786282778,0.0269830349140088,0.00275762458210785,0.00275762458210785,0.010202110988878,0.010202110988878,0.0237284154381425,0.0237284154381425,1.56414831117381E-17,61.0448781010851,0.262070874759298,0.0203737215487619,0
461,0.00533009989097049,-0.0174019820229755,-0.0174019820229755,0.00493907377281363,-0.0125951129799951,-0.0125951129799951,-0.0119128681482024,-0.0119128681482024,0.0214211208958937,0.0214211208958937,1.56414831117381E-17,56.8267138141484,0.212189207268126,-0.0220975406601929,-0.0181296934938835
469,-0.0175346642998258,-0.0145138947760772,-0.0145138947760772,0.00232748445520944,-0.0229803060900478,-0.0229803060900478,-0.00928363896148259,-0.00928363896148259,0.0128417145357036,0.0128417145357036,1.56414831117381E-17,52.9030661639273,0.145537009585119,-0.0316077685161316,-0.0171668549041645
477,-0.00925981134965906,-0.00252479152379492,-0.00252479152379492,0.0152067959582453,-0.00293185992816672,-0.00293185992816672,-0.00260815339604391,-0.00260815339604391,0.0166417953263359,0.0166417953263359,1.56414831117381E-17,48.6950105731424,0,-0.00168146105246784,0.000966508090824251
485,-0.0140407803548732,0.00680990743160685,0.00680990743160685,0.0201246750756007,-0.0108987483283601,-0.0108987483283601,0.00593196953800719,0.00593196953800719,0.009689938894862,0.009689938894862,1.56414831117381E-17,44.6702386027516,0,-0.00326509161827083,0.00756551129630563
493,0.00233812551455138,0.0148076803839755,0.0148076803839755,0.0324485899221247,0.000114158330415498,0.000114158330415498,0.0161215600666744,0.0161215600666744,0.0106570539653876,0.0106570539653876,1.56414831117381E-17,40.868073959278,0,0.0111799009955635,0.0154307347889077
501,-0.0042436044068036,0.0206788417084884,0.0206788417084884,0.0306281800498335,-0.0121881049942909,-0.0121881049942909,0.0273018704948846,0.0273018704948846,0.00335424900283869,0.00335424900283869,1.56414831117381E-17,37.9536772297402,0,-0.00110085735813992,0.0240386566358933
509,-0.016487984237205,-0.00389906395837977,-0.00389906395837977,0.0202584235582352,-0.00856382904374619,-0.00856382904374619,0.0244159926442688,0.0244159926442688,0.000392149110791577,0.000392149110791577,1.56414831117381E-17,36.3947387304279,0,-0.0144577909608747,0.0205255622166868
517,0.018892468607797,0.0173277429620788,0.0173277429620788,0.0284564881380599,0.0119483215979765,0.0119483215979765,0.0221127133679427,0.0221127133679427,0.00770160214683503,0.00770160214683503,1.56414831117381E-17,34.1046505439283,0.221810612661786,0.0192459908614136,0.0189601426780851
525,-0.00891737933381175,0.0034828913005063,0.0034828913005063,0.0152624529253341,-0.00807678490591518,-0.00807678490591518,0.0209505771923634,0.0209505771923634,0.00209327170612459,0.00209327170612459,1.56414831117381E-17,32.0142018421818,0.221810612661786,-0.00473292463879963,0.0190559594800943
533,-0.0121135549212902,-0.00922920198052339,-0.00922920198052339,0.0167485475435417,0.000435484614008739,0.000435484614008739,0.0165014069694743,0.0165014069694743,0.00320485809574331,0.00320485809574331,1.56414831117381E-17,30.4117384023188,0.221810612661786,-0.00919317945169683,0.0162455740908842
541,-0.0244654428283703,-0.0175467632517496,-0.0175467632517496,0.140704027898795,-0.022994731176148,-0.022994731176148,0.154569979431123,0.154569979431123,-0.00657883439815326,-0.00657883439815326,1.56414831117381E-17,30.4234335293089,0.221810612661786,-0.0238600687899468,0.154567517033366
549,-0.00251544486845233,-0.00971782227210193,-0.00971782227210193,0,0.01069166294875,0.01069166294875,0,0,0.00185644844938814,0.00185644844938814,1.56414831117381E-17,30.4291189612216,0.221810612661786,-0.0026490430000334,0.0612405942675476
557,-0.0164530643440362,-0.00586759216403156,-0.00586759216403156,-0.0132033412728113,-0.019935268861438,-0.019935268861438,-0.0181000905777931,-0.0181000905777931,-0.0071711882902268,-0.0071711882902268,1.56414831117381E-17,31.1078153681246,0.221810612661786,-0.0174626605029869,-0.0512698064122086
565,0.00240497456299942,-0.00346777214671421,-0.00346777214671421,0.00722816141016346,0.010340477696826,0.010340477696826,-0.00152831384448026,-0.00152831384448026,0.000802240850188216,0.000802240850188216,1.56414831117381E-17,31.6972810162611,0.221810612661786,0.00141021411573839,-0.0161260216402126
573,-0.00662560634052052,-0.00200793851285389,-0.00200793851285389,-0.00543727579583591,-0.00805258873354348,-0.00805258873354348,0.000231333227382874,0.000231333227382874,-0.00355093628990281,-0.00355093628990281,1.56414831117381E-17,32.2161709623657,0.221810612661786,-0.00729571490976352,-0.00415854645912318
581,0.00119098164332588,-0.00133423786403982,-0.00133423786403982,0.0526639085576517,0.00629906212822201,0.00629906212822201,0.0975878226720018,0.0975878226720018,0.000786655784029507,0.000786655784029507,1.56414831117381E-17,32.5480087855661,0.221810612661786,0.000411061320470984,0.115171685280335
589,-0.00837513490897438,-0.0009004061947076,-0.0009004061947076,0,-0.0137328372009855,-0.0137328372009855,0,0,-0.00580639467717078,-0.00580639467717078,1.56414831117381E-17,33.4524894118889,0.221810612661786,-0.00925831141554966,0.0540570370529088
