tc,days,years,latmin,lonmin,latmax,lonmax,stDevPC
1,1,1998,40,-45,45,-35,7.50972080651006
2,9,1998,40,-45,45,-35,6.20212315041268
3,17,1998,40,-45,45,-35,5.7769568950647
4,25,1998,40,-45,45,-35,6.91795416024006
5,33,1998,40,-45,45,-35,6.69381305603962
6,41,1998,40,-45,45,-35,6.42703738297985
7,49,1998,40,-45,45,-35,9.05125846844783
8,57,1998,40,-45,45,-35,7.44587646468483
9,65,1998,40,-45,45,-35,6.78803459881046
10,73,1998,40,-45,45,-35,7.51266482066061
11,81,1998,40,-45,45,-35,7.44559452677908
12,89,1998,40,-45,45,-35,10.1252435265644
13,97,1998,40,-45,45,-35,15.899970175913
14,105,1998,40,-45,45,-35,16.5619947727522
15,113,1998,40,-45,45,-35,12.0958936659252
16,121,1998,40,-45,45,-35,16.8606580645933
17,129,1998,40,-45,45,-35,13.3839085450696
18,137,1998,40,-45,45,-35,11.8985311318161
19,145,1998,40,-45,45,-35,10.400113630472
20,153,1998,40,-45,45,-35,10.5728135957294
21,161,1998,40,-45,45,-35,8.75209877464209
22,169,1998,40,-45,45,-35,5.6105194141015
23,177,1998,40,-45,45,-35,4.93240885344442
24,185,1998,40,-45,45,-35,3.92164687915924
25,193,1998,40,-45,45,-35,4.13391647460224
26,201,1998,40,-45,45,-35,5.05250617696879
27,209,1998,40,-45,45,-35,5.88396952351353
28,217,1998,40,-45,45,-35,5.77917018199034
29,225,1998,40,-45,45,-35,4.47993509608316
30,233,1998,40,-45,45,-35,5.41156163409387
31,241,1998,40,-45,45,-35,6.51587421981615
32,249,1998,40,-45,45,-35,7.48550297134465
33,257,1998,40,-45,45,-35,8.28647247682389
34,265,1998,40,-45,45,-35,5.88188865388011
35,273,1998,40,-45,45,-35,7.02187961434067
36,281,1998,40,-45,45,-35,6.28742443456739
37,289,1998,40,-45,45,-35,6.47344668666471
38,297,1998,40,-45,45,-35,7.25724264978845
39,305,1998,40,-45,45,-35,8.75793102897998
40,313,1998,40,-45,45,-35,6.82761164370857
41,321,1998,40,-45,45,-35,7.04382267236845
42,329,1998,40,-45,45,-35,7.39193254118597
43,337,1998,40,-45,45,-35,6.74940895495286
44,345,1998,40,-45,45,-35,7.4736081612463
45,353,1998,40,-45,45,-35,11.0841391560045
46,361,1998,40,-45,45,-35,21.5806744444543
47,1,1999,40,-45,45,-35,12.0504186441651
48,9,1999,40,-45,45,-35,11.2034581036991
49,17,1999,40,-45,45,-35,7.55242199336522
50,25,1999,40,-45,45,-35,8.72547766921075
51,33,1999,40,-45,45,-35,6.68941646361846
52,41,1999,40,-45,45,-35,5.71902644206963
53,49,1999,40,-45,45,-35,7.90118527638585
54,57,1999,40,-45,45,-35,7.16123465316513
55,65,1999,40,-45,45,-35,8.03901848712594
56,73,1999,40,-45,45,-35,10.15819825161
57,81,1999,40,-45,45,-35,11.9863745405004
58,89,1999,40,-45,45,-35,10.5696969858951
59,97,1999,40,-45,45,-35,19.1265675744395
60,105,1999,40,-45,45,-35,16.8673394830711
61,113,1999,40,-45,45,-35,11.4077093982734
62,121,1999,40,-45,45,-35,10.0533227431573
63,129,1999,40,-45,45,-35,13.3440182258234
64,137,1999,40,-45,45,-35,10.7103086021516
65,145,1999,40,-45,45,-35,7.56105707875315
66,153,1999,40,-45,45,-35,6.45015599865676
67,161,1999,40,-45,45,-35,6.21941995846884
68,169,1999,40,-45,45,-35,5.11833942728846
69,177,1999,40,-45,45,-35,4.84614340138214
70,185,1999,40,-45,45,-35,4.49931050734211
71,193,1999,40,-45,45,-35,4.22740743345988
72,201,1999,40,-45,45,-35,5.20609836029146
73,209,1999,40,-45,45,-35,6.92181043490633
74,217,1999,40,-45,45,-35,6.00101749506475
75,225,1999,40,-45,45,-35,5.80887543553423
76,233,1999,40,-45,45,-35,6.64022268338224
77,241,1999,40,-45,45,-35,6.15394783089666
78,249,1999,40,-45,45,-35,5.53671719358485
79,257,1999,40,-45,45,-35,6.22767148595315
80,265,1999,40,-45,45,-35,6.10804255115314
81,273,1999,40,-45,45,-35,5.1647265073625
82,281,1999,40,-45,45,-35,6.48691655758487
83,289,1999,40,-45,45,-35,9.82934826947302
84,297,1999,40,-45,45,-35,11.7745604723996
85,305,1999,40,-45,45,-35,6.10621459752163
86,313,1999,40,-45,45,-35,5.65593235704915
87,321,1999,40,-45,45,-35,6.16919348600109
88,329,1999,40,-45,45,-35,5.93446948111797
89,337,1999,40,-45,45,-35,5.29347970287304
90,345,1999,40,-45,45,-35,8.71565179599143
91,353,1999,40,-45,45,-35,7.57448298452898
92,361,1999,40,-45,45,-35,5.33421549529553
93,1,2000,40,-45,45,-35,6.93422964502995
94,9,2000,40,-45,45,-35,5.7540859869566
95,17,2000,40,-45,45,-35,7.31763938572651
96,25,2000,40,-45,45,-35,8.0041957954661
97,33,2000,40,-45,45,-35,9.99619262026043
98,41,2000,40,-45,45,-35,6.1088316338142
99,49,2000,40,-45,45,-35,6.61639388513219
100,57,2000,40,-45,45,-35,6.71257069373878
101,65,2000,40,-45,45,-35,8.94398458035941
102,73,2000,40,-45,45,-35,14.5003276372989
103,81,2000,40,-45,45,-35,13.0254112569143
104,89,2000,40,-45,45,-35,9.627974204465
105,97,2000,40,-45,45,-35,8.63596912214039
106,105,2000,40,-45,45,-35,12.0684240081444
107,113,2000,40,-45,45,-35,10.4602746171127
108,121,2000,40,-45,45,-35,11.8968278799489
109,129,2000,40,-45,45,-35,10.9724314013358
110,137,2000,40,-45,45,-35,14.3479631126566
111,145,2000,40,-45,45,-35,11.8799619527791
112,153,2000,40,-45,45,-35,9.75768939209842
113,161,2000,40,-45,45,-35,8.53733253624332
114,169,2000,40,-45,45,-35,8.98047627669502
115,177,2000,40,-45,45,-35,9.16260243024949
116,185,2000,40,-45,45,-35,12.6860003356154
117,193,2000,40,-45,45,-35,20.4768957509963
118,201,2000,40,-45,45,-35,24.8541223110321
119,209,2000,40,-45,45,-35,17.9309742718781
120,217,2000,40,-45,45,-35,7.17479887956096
121,225,2000,40,-45,45,-35,5.09040969442438
122,233,2000,40,-45,45,-35,4.64396968258348
123,241,2000,40,-45,45,-35,4.61526027478817
124,249,2000,40,-45,45,-35,6.13091786268576
125,257,2000,40,-45,45,-35,4.49909583099339
126,265,2000,40,-45,45,-35,5.46062677704593
127,273,2000,40,-45,45,-35,5.33533089495124
128,281,2000,40,-45,45,-35,4.36064848510453
129,289,2000,40,-45,45,-35,6.43067375498564
130,297,2000,40,-45,45,-35,6.28583204553992
131,305,2000,40,-45,45,-35,5.48045059372584
132,313,2000,40,-45,45,-35,7.01194192324499
133,321,2000,40,-45,45,-35,8.04043070268518
134,329,2000,40,-45,45,-35,7.26123040981012
135,337,2000,40,-45,45,-35,8.35777263936169
136,345,2000,40,-45,45,-35,11.6563072240582
137,353,2000,40,-45,45,-35,7.89071114578391
138,361,2000,40,-45,45,-35,12.7805723038597
139,1,2001,40,-45,45,-35,7.48067490988055
140,9,2001,40,-45,45,-35,12.4068558965707
141,17,2001,40,-45,45,-35,12.6804991100311
142,25,2001,40,-45,45,-35,10.4796778549429
143,33,2001,40,-45,45,-35,8.56406344523939
144,41,2001,40,-45,45,-35,8.28069030785372
145,49,2001,40,-45,45,-35,9.52551162082253
146,57,2001,40,-45,45,-35,7.83075988172213
147,65,2001,40,-45,45,-35,7.91978633230532
148,73,2001,40,-45,45,-35,7.72658407159642
149,81,2001,40,-45,45,-35,6.41234317011843
150,89,2001,40,-45,45,-35,7.40510008954259
151,97,2001,40,-45,45,-35,9.51710942772966
152,105,2001,40,-45,45,-35,15.0818614505152
153,113,2001,40,-45,45,-35,13.208636246851
154,121,2001,40,-45,45,-35,10.3461364349377
155,129,2001,40,-45,45,-35,13.0106510280774
156,137,2001,40,-45,45,-35,14.1394090300633
157,145,2001,40,-45,45,-35,12.453070696011
158,153,2001,40,-45,45,-35,12.4366153341354
159,161,2001,40,-45,45,-35,11.0995008462297
160,169,2001,40,-45,45,-35,9.93940579307285
161,177,2001,40,-45,45,-35,9.1208579992062
162,185,2001,40,-45,45,-35,7.76603508033467
163,193,2001,40,-45,45,-35,4.49341845229595
164,201,2001,40,-45,45,-35,5.3192698415798
165,209,2001,40,-45,45,-35,4.80015593334834
166,217,2001,40,-45,45,-35,7.00492014840941
167,225,2001,40,-45,45,-35,9.73312507881503
168,233,2001,40,-45,45,-35,7.63869416891986
169,241,2001,40,-45,45,-35,5.89123270151136
170,249,2001,40,-45,45,-35,6.2107534478652
171,257,2001,40,-45,45,-35,6.02722926364501
172,265,2001,40,-45,45,-35,8.13081094124063
173,273,2001,40,-45,45,-35,6.81660862866521
174,281,2001,40,-45,45,-35,6.12039462666823
175,289,2001,40,-45,45,-35,7.12273465859318
176,297,2001,40,-45,45,-35,6.84518014502545
177,305,2001,40,-45,45,-35,5.79382996699445
178,313,2001,40,-45,45,-35,7.31120154776769
179,321,2001,40,-45,45,-35,9.81042178276469
180,329,2001,40,-45,45,-35,8.50225487392696
181,337,2001,40,-45,45,-35,6.25451742092373
182,345,2001,40,-45,45,-35,7.83921568195482
183,353,2001,40,-45,45,-35,7.73649533155201
184,361,2001,40,-45,45,-35,5.90427868025026
185,1,2002,40,-45,45,-35,7.3006867240442
186,9,2002,40,-45,45,-35,8.69392763372432
187,17,2002,40,-45,45,-35,15.8678956918656
188,25,2002,40,-45,45,-35,20.4971724950461
189,33,2002,40,-45,45,-35,11.0313515130061
190,41,2002,40,-45,45,-35,10.1183922712972
191,49,2002,40,-45,45,-35,6.09944264570177
192,57,2002,40,-45,45,-35,7.47516344705967
193,65,2002,40,-45,45,-35,7.11375364135842
194,73,2002,40,-45,45,-35,9.44287087600087
195,81,2002,40,-45,45,-35,7.64170664079159
196,89,2002,40,-45,45,-35,7.97918271796506
197,97,2002,40,-45,45,-35,14.4232752249105
198,105,2002,40,-45,45,-35,8.60920719112992
199,113,2002,40,-45,45,-35,12.9964927043181
200,121,2002,40,-45,45,-35,18.5791635572571
201,129,2002,40,-45,45,-35,12.5623655645406
202,137,2002,40,-45,45,-35,10.449119997884
203,145,2002,40,-45,45,-35,10.1781975234755
204,153,2002,40,-45,45,-35,8.18082542757892
205,161,2002,40,-45,45,-35,7.64622248560839
206,169,2002,40,-45,45,-35,6.82771106800773
207,177,2002,40,-45,45,-35,9.60901737092447
208,185,2002,40,-45,45,-35,8.86416251250213
209,193,2002,40,-45,45,-35,5.39851338301254
210,201,2002,40,-45,45,-35,4.73079332490612
211,209,2002,40,-45,45,-35,4.20300501923993
212,217,2002,40,-45,45,-35,4.1178426529108
213,225,2002,40,-45,45,-35,6.11426680004597
214,233,2002,40,-45,45,-35,4.86948613109844
215,241,2002,40,-45,45,-35,6.39069127996777
216,249,2002,40,-45,45,-35,8.05246416222768
217,257,2002,40,-45,45,-35,8.83691669616075
218,265,2002,40,-45,45,-35,8.43931095729568
219,273,2002,40,-45,45,-35,5.63682781888353
220,281,2002,40,-45,45,-35,6.79049584484268
221,289,2002,40,-45,45,-35,9.51274633812669
222,297,2002,40,-45,45,-35,7.21952823618754
223,305,2002,40,-45,45,-35,12.2243906463402
224,313,2002,40,-45,45,-35,9.07719067464148
225,321,2002,40,-45,45,-35,7.36654189283528
226,329,2002,40,-45,45,-35,9.36914570841384
227,337,2002,40,-45,45,-35,11.404303140747
228,345,2002,40,-45,45,-35,8.13172795813386
229,353,2002,40,-45,45,-35,7.46883344593338
230,361,2002,40,-45,45,-35,7.54345339383907
1,1,1998,45,-45,50,-35,6.48789893429726
2,9,1998,45,-45,50,-35,6.29166511773503
3,17,1998,45,-45,50,-35,7.59064134066985
4,25,1998,45,-45,50,-35,5.79857132656037
5,33,1998,45,-45,50,-35,5.70733890498842
6,41,1998,45,-45,50,-35,5.89436314834544
7,49,1998,45,-45,50,-35,6.61702370788123
8,57,1998,45,-45,50,-35,7.73034235567061
9,65,1998,45,-45,50,-35,6.65673456079053
10,73,1998,45,-45,50,-35,6.66454469425925
11,81,1998,45,-45,50,-35,6.65860999075962
12,89,1998,45,-45,50,-35,7.90634419722909
13,97,1998,45,-45,50,-35,10.8426521623951
14,105,1998,45,-45,50,-35,13.1109449534131
15,113,1998,45,-45,50,-35,12.5485608897279
16,121,1998,45,-45,50,-35,25.3193463389026
17,129,1998,45,-45,50,-35,14.470183671562
18,137,1998,45,-45,50,-35,15.0633319803882
19,145,1998,45,-45,50,-35,15.4836258695591
20,153,1998,45,-45,50,-35,17.6013096087993
21,161,1998,45,-45,50,-35,16.2107751942462
22,169,1998,45,-45,50,-35,14.8462610383233
23,177,1998,45,-45,50,-35,11.0300973526761
24,185,1998,45,-45,50,-35,6.99085906413023
25,193,1998,45,-45,50,-35,6.6425521869741
26,201,1998,45,-45,50,-35,5.77141813347129
27,209,1998,45,-45,50,-35,7.79912097553486
28,217,1998,45,-45,50,-35,9.89393120960676
29,225,1998,45,-45,50,-35,8.50608487617588
30,233,1998,45,-45,50,-35,8.38714276060166
31,241,1998,45,-45,50,-35,9.91079294505276
32,249,1998,45,-45,50,-35,9.4540811249831
33,257,1998,45,-45,50,-35,9.06852055977141
34,265,1998,45,-45,50,-35,8.22401616325483
35,273,1998,45,-45,50,-35,8.49624398988428
36,281,1998,45,-45,50,-35,7.91720462572698
37,289,1998,45,-45,50,-35,7.03077144204378
38,297,1998,45,-45,50,-35,12.1294189162952
39,305,1998,45,-45,50,-35,13.9948530051787
40,313,1998,45,-45,50,-35,5.89612298619351
41,321,1998,45,-45,50,-35,6.71720164412936
42,329,1998,45,-45,50,-35,7.14483442951864
43,337,1998,45,-45,50,-35,7.24207915874414
44,345,1998,45,-45,50,-35,7.70512421221279
45,353,1998,45,-45,50,-35,14.9605425155963
46,361,1998,45,-45,50,-35,18.2931635575438
47,1,1999,45,-45,50,-35,9.70622214239854
48,9,1999,45,-45,50,-35,23.3771183281663
49,17,1999,45,-45,50,-35,7.45002923374649
50,25,1999,45,-45,50,-35,5.96270061254616
51,33,1999,45,-45,50,-35,6.59309463093297
52,41,1999,45,-45,50,-35,6.2190676606261
53,49,1999,45,-45,50,-35,7.95352947697873
54,57,1999,45,-45,50,-35,6.91171854934185
55,65,1999,45,-45,50,-35,7.20914622952085
56,73,1999,45,-45,50,-35,8.85945226731377
57,81,1999,45,-45,50,-35,11.2619298021512
58,89,1999,45,-45,50,-35,11.7372354486124
59,97,1999,45,-45,50,-35,20.3564442645222
60,105,1999,45,-45,50,-35,26.3980315245985
61,113,1999,45,-45,50,-35,14.4625339356681
62,121,1999,45,-45,50,-35,12.8856198149764
63,129,1999,45,-45,50,-35,14.446569321364
64,137,1999,45,-45,50,-35,17.9417929474131
65,145,1999,45,-45,50,-35,15.2647215881235
66,153,1999,45,-45,50,-35,15.4353332652929
67,161,1999,45,-45,50,-35,13.5481739245824
68,169,1999,45,-45,50,-35,9.68369233044078
69,177,1999,45,-45,50,-35,7.55198381244614
70,185,1999,45,-45,50,-35,11.5687265790312
71,193,1999,45,-45,50,-35,8.16631022240277
72,201,1999,45,-45,50,-35,7.34152115839742
73,209,1999,45,-45,50,-35,11.1592861261809
74,217,1999,45,-45,50,-35,11.470880860144
75,225,1999,45,-45,50,-35,11.2801665017868
76,233,1999,45,-45,50,-35,13.0656948424666
77,241,1999,45,-45,50,-35,9.82706928097699
78,249,1999,45,-45,50,-35,8.95492248753203
79,257,1999,45,-45,50,-35,7.78359145184465
80,265,1999,45,-45,50,-35,8.25177304307455
81,273,1999,45,-45,50,-35,7.87162241583632
82,281,1999,45,-45,50,-35,10.9512556839449
83,289,1999,45,-45,50,-35,10.8374294609771
84,297,1999,45,-45,50,-35,9.52323289770553
85,305,1999,45,-45,50,-35,6.41226516901209
86,313,1999,45,-45,50,-35,5.54161765368032
87,321,1999,45,-45,50,-35,6.46385907067599
88,329,1999,45,-45,50,-35,7.66468798774049
89,337,1999,45,-45,50,-35,6.56637086765801
90,345,1999,45,-45,50,-35,20.4490504482825
91,353,1999,45,-45,50,-35,18.1686926047334
92,361,1999,45,-45,50,-35,5.95793487564891
93,1,2000,45,-45,50,-35,8.35359520098123
94,9,2000,45,-45,50,-35,7.7806444680234
95,17,2000,45,-45,50,-35,7.37652998616612
96,25,2000,45,-45,50,-35,9.15673468692375
97,33,2000,45,-45,50,-35,7.72180769612895
98,41,2000,45,-45,50,-35,6.54555796841126
99,49,2000,45,-45,50,-35,9.32347435304869
100,57,2000,45,-45,50,-35,9.33471196893067
101,65,2000,45,-45,50,-35,13.3887908958374
102,73,2000,45,-45,50,-35,11.2819539204096
103,81,2000,45,-45,50,-35,12.9682929362177
104,89,2000,45,-45,50,-35,12.4379317946068
105,97,2000,45,-45,50,-35,11.7111833972713
106,105,2000,45,-45,50,-35,11.0668511205263
107,113,2000,45,-45,50,-35,11.663800173754
108,121,2000,45,-45,50,-35,14.2783496926979
109,129,2000,45,-45,50,-35,16.1975399217658
110,137,2000,45,-45,50,-35,20.6869129962661
111,145,2000,45,-45,50,-35,22.6011876046558
112,153,2000,45,-45,50,-35,15.9005064359827
113,161,2000,45,-45,50,-35,16.4043283212487
114,169,2000,45,-45,50,-35,22.5345173325246
115,177,2000,45,-45,50,-35,23.8162123323115
116,185,2000,45,-45,50,-35,22.61441631472
117,193,2000,45,-45,50,-35,30.8237675965674
118,201,2000,45,-45,50,-35,29.8570831163106
119,209,2000,45,-45,50,-35,16.8540643456423
120,217,2000,45,-45,50,-35,9.15026055492343
121,225,2000,45,-45,50,-35,10.1376509082275
122,233,2000,45,-45,50,-35,8.3400980023125
123,241,2000,45,-45,50,-35,8.85466736514554
124,249,2000,45,-45,50,-35,8.8646615901422
125,257,2000,45,-45,50,-35,7.52315999600971
126,265,2000,45,-45,50,-35,7.86650247942334
127,273,2000,45,-45,50,-35,7.41067648472505
128,281,2000,45,-45,50,-35,7.67620948802957
129,289,2000,45,-45,50,-35,8.0602009804152
130,297,2000,45,-45,50,-35,7.87378656199113
131,305,2000,45,-45,50,-35,7.55283394822222
132,313,2000,45,-45,50,-35,7.70594947707075
133,321,2000,45,-45,50,-35,8.07395071282432
134,329,2000,45,-45,50,-35,8.55459191010025
135,337,2000,45,-45,50,-35,8.30735690124026
136,345,2000,45,-45,50,-35,9.7693635578228
137,353,2000,45,-45,50,-35,10.7081199999944
138,361,2000,45,-45,50,-35,12.0066374237788
139,1,2001,45,-45,50,-35,7.40095952629061
140,9,2001,45,-45,50,-35,7.71409731931265
141,17,2001,45,-45,50,-35,8.78032981064834
142,25,2001,45,-45,50,-35,8.44827052984791
143,33,2001,45,-45,50,-35,9.23067195764095
144,41,2001,45,-45,50,-35,8.79411057715095
145,49,2001,45,-45,50,-35,6.45820144561437
146,57,2001,45,-45,50,-35,7.38247085474822
147,65,2001,45,-45,50,-35,7.66845147204901
148,73,2001,45,-45,50,-35,6.69027731630358
149,81,2001,45,-45,50,-35,6.88129370842961
150,89,2001,45,-45,50,-35,7.27650813290285
151,97,2001,45,-45,50,-35,6.58896334163654
152,105,2001,45,-45,50,-35,12.2266394580542
153,113,2001,45,-45,50,-35,11.2947408016565
154,121,2001,45,-45,50,-35,11.903340471874
155,129,2001,45,-45,50,-35,13.5444867873555
156,137,2001,45,-45,50,-35,16.2271165800494
157,145,2001,45,-45,50,-35,18.8069487496537
158,153,2001,45,-45,50,-35,21.3514342664079
159,161,2001,45,-45,50,-35,14.9093307876895
160,169,2001,45,-45,50,-35,13.4798203212972
161,177,2001,45,-45,50,-35,12.5322713956908
162,185,2001,45,-45,50,-35,13.7945114052462
163,193,2001,45,-45,50,-35,9.25861419842896
164,201,2001,45,-45,50,-35,7.7585703356863
165,209,2001,45,-45,50,-35,6.9656890788035
166,217,2001,45,-45,50,-35,15.710489129518
167,225,2001,45,-45,50,-35,18.410476497204
168,233,2001,45,-45,50,-35,13.0325983898253
169,241,2001,45,-45,50,-35,10.6356903241422
170,249,2001,45,-45,50,-35,8.25649789962617
171,257,2001,45,-45,50,-35,7.96632803740276
172,265,2001,45,-45,50,-35,14.1454289774553
173,273,2001,45,-45,50,-35,7.72990345395471
174,281,2001,45,-45,50,-35,7.98451015177109
175,289,2001,45,-45,50,-35,7.86867306930096
176,297,2001,45,-45,50,-35,8.54584703897417
177,305,2001,45,-45,50,-35,6.8042171797508
178,313,2001,45,-45,50,-35,10.9207350500818
179,321,2001,45,-45,50,-35,15.691176252751
180,329,2001,45,-45,50,-35,6.65780589263944
181,337,2001,45,-45,50,-35,6.22404677389227
182,345,2001,45,-45,50,-35,6.40451841523864
183,353,2001,45,-45,50,-35,5.8636293519832
184,361,2001,45,-45,50,-35,4.97115282992053
185,1,2002,45,-45,50,-35,7.27047522172812
186,9,2002,45,-45,50,-35,7.82223608546919
187,17,2002,45,-45,50,-35,13.1501983268143
188,25,2002,45,-45,50,-35,24.3595702189117
189,33,2002,45,-45,50,-35,12.1303757437696
190,41,2002,45,-45,50,-35,10.9421093587887
191,49,2002,45,-45,50,-35,6.82808055395945
192,57,2002,45,-45,50,-35,8.34808767012463
193,65,2002,45,-45,50,-35,9.10259686974493
194,73,2002,45,-45,50,-35,7.75934496813376
195,81,2002,45,-45,50,-35,8.39045318963509
196,89,2002,45,-45,50,-35,7.51663142570651
197,97,2002,45,-45,50,-35,9.54668205272722
198,105,2002,45,-45,50,-35,10.9150782182762
199,113,2002,45,-45,50,-35,9.45945238098733
200,121,2002,45,-45,50,-35,17.4418850403619
201,129,2002,45,-45,50,-35,11.907482633946
202,137,2002,45,-45,50,-35,10.8326848693358
203,145,2002,45,-45,50,-35,12.3079008433072
204,153,2002,45,-45,50,-35,10.5402931560226
205,161,2002,45,-45,50,-35,9.66992697744996
206,169,2002,45,-45,50,-35,12.3837005495576
207,177,2002,45,-45,50,-35,14.6384493841331
208,185,2002,45,-45,50,-35,12.1364486512191
209,193,2002,45,-45,50,-35,11.1434830598501
210,201,2002,45,-45,50,-35,7.30417428970594
211,209,2002,45,-45,50,-35,8.24108850887556
212,217,2002,45,-45,50,-35,7.90483022783803
213,225,2002,45,-45,50,-35,11.7093634463304
214,233,2002,45,-45,50,-35,8.16706863030471
215,241,2002,45,-45,50,-35,8.92345948881192
216,249,2002,45,-45,50,-35,13.6487717916515
217,257,2002,45,-45,50,-35,18.1477134755167
218,265,2002,45,-45,50,-35,15.1067158567034
219,273,2002,45,-45,50,-35,9.40556908442345
220,281,2002,45,-45,50,-35,8.3968875346453
221,289,2002,45,-45,50,-35,19.0634148767483
222,297,2002,45,-45,50,-35,8.38956321907052
223,305,2002,45,-45,50,-35,7.75965550612149
224,313,2002,45,-45,50,-35,12.529183031945
225,321,2002,45,-45,50,-35,6.36128151876701
226,329,2002,45,-45,50,-35,7.64192229109878
227,337,2002,45,-45,50,-35,7.66064968364242
228,345,2002,45,-45,50,-35,8.37958795912334
229,353,2002,45,-45,50,-35,7.64022134232682
230,361,2002,45,-45,50,-35,8.03437577045076
1,1,1998,50,-45,55,-35,6.26488474751105
2,9,1998,50,-45,55,-35,6.3012508863543
3,17,1998,50,-45,55,-35,5.86553695076078
4,25,1998,50,-45,55,-35,5.97384081001432
5,33,1998,50,-45,55,-35,6.05568336601024
6,41,1998,50,-45,55,-35,6.00062067731824
7,49,1998,50,-45,55,-35,6.510696740523
8,57,1998,50,-45,55,-35,6.75708583936283
9,65,1998,50,-45,55,-35,7.19418371231421
10,73,1998,50,-45,55,-35,6.46613998354831
11,81,1998,50,-45,55,-35,5.88495131445273
12,89,1998,50,-45,55,-35,7.54982486031375
13,97,1998,50,-45,55,-35,9.46801352663681
14,105,1998,50,-45,55,-35,9.37894291729855
15,113,1998,50,-45,55,-35,10.424582426062
16,121,1998,50,-45,55,-35,15.8762764851617
17,129,1998,50,-45,55,-35,13.4021947751348
18,137,1998,50,-45,55,-35,13.7318322653124
19,145,1998,50,-45,55,-35,18.5454277515149
20,153,1998,50,-45,55,-35,21.3679210454448
21,161,1998,50,-45,55,-35,25.5177258807478
22,169,1998,50,-45,55,-35,31.3897027767716
23,177,1998,50,-45,55,-35,18.8465588823242
24,185,1998,50,-45,55,-35,11.4124861773268
25,193,1998,50,-45,55,-35,11.8186372163748
26,201,1998,50,-45,55,-35,9.6830607267123
27,209,1998,50,-45,55,-35,7.91722682668058
28,217,1998,50,-45,55,-35,8.16101825856527
29,225,1998,50,-45,55,-35,9.30965856235135
30,233,1998,50,-45,55,-35,9.34995081948645
31,241,1998,50,-45,55,-35,10.7546327670581
32,249,1998,50,-45,55,-35,9.16488864622851
33,257,1998,50,-45,55,-35,7.67461958380078
34,265,1998,50,-45,55,-35,6.73372277077062
35,273,1998,50,-45,55,-35,8.51103578496752
36,281,1998,50,-45,55,-35,10.0394045265813
37,289,1998,50,-45,55,-35,7.15774004371641
38,297,1998,50,-45,55,-35,8.97446584547344
39,305,1998,50,-45,55,-35,7.54873408905535
40,313,1998,50,-45,55,-35,7.90213150781213
41,321,1998,50,-45,55,-35,6.68838490549705
42,329,1998,50,-45,55,-35,7.07517678132048
43,337,1998,50,-45,55,-35,7.31322102712321
44,345,1998,50,-45,55,-35,7.77828296711512
45,353,1998,50,-45,55,-35,15.5855866794797
46,361,1998,50,-45,55,-35,17.3303997352186
47,1,1999,50,-45,55,-35,9.25822326404746
48,9,1999,50,-45,55,-35,25.6121863413074
49,17,1999,50,-45,55,-35,4.64840493330274
50,25,1999,50,-45,55,-35,5.35999621179287
51,33,1999,50,-45,55,-35,6.80768931765597
52,41,1999,50,-45,55,-35,5.21331562701156
53,49,1999,50,-45,55,-35,8.56203048626324
54,57,1999,50,-45,55,-35,7.63797797485492
55,65,1999,50,-45,55,-35,7.57571914777502
56,73,1999,50,-45,55,-35,8.47583615288465
57,81,1999,50,-45,55,-35,7.76300325355634
